Participant ID, TimeStamp, Keystroke, Video Name
zxcasd, 0, a, 9B_Final_ParkingLot_Var1_NH.mp4
zxcasd, 0, s, 9B_Final_ParkingLot_Var1_NH.mp4
zxcasd, 0, d, 9B_Final_ParkingLot_Var1_NH.mp4
zxcasd, 0.560014, a, 9B_Final_ParkingLot_Var1_NH.mp4
zxcasd, 0.635028, s, 9B_Final_ParkingLot_Var1_NH.mp4
zxcasd, 0.733322, d, 9B_Final_ParkingLot_Var1_NH.mp4
zxcasd, 0, a, 5B_Final_Metro_Var1_NH.mp4
zxcasd, 0, s, 5B_Final_Metro_Var1_NH.mp4
zxcasd, 0, d, 5B_Final_Metro_Var1_NH.mp4
zxcasd, 0, a, 5B_Final_Metro_Var1_NH.mp4
zxcasd, 0, s, 5B_Final_Metro_Var1_NH.mp4
zxcasd, 0, d, 5B_Final_Metro_Var1_NH.mp4
zxcasd, 0.366719, a, 2B_Converted_Beach1_Var1_NH.mp4
zxcasd, 0.503613, s, 2B_Converted_Beach1_Var1_NH.mp4
zxcasd, 0.576293, d, 2B_Converted_Beach1_Var1_NH.mp4
zxcasd, 33.71574, a, 2B_Converted_Beach1_Var1_NH.mp4
zxcasd, 33.71574, s, 2B_Converted_Beach1_Var1_NH.mp4
zxcasd, 35.240432, d, 2B_Converted_Beach1_Var1_NH.mp4
zxcasd, 0, a, 8B_Final_Suburb1_Var1_NH.mp4
zxcasd, 0, s, 8B_Final_Suburb1_Var1_NH.mp4
zxcasd, 0, d, 8B_Final_Suburb1_Var1_NH.mp4
zxcasd, 1.479544, a, 8B_Final_Suburb1_Var1_NH.mp4
zxcasd, 1.746278, s, 8B_Final_Suburb1_Var1_NH.mp4
zxcasd, 1.746278, d, 8B_Final_Suburb1_Var1_NH.mp4
